Descriptions,Entity
3M,Organization
Amgen,Organization
Cigna,Organization
Denso,Organization
GlaxoSmithKline,Organization
Posco,Organization
E.ON,Organization
Panasonic,Organization
Fresenius,Organization
Repsol,Organization
Danone,Organization
Petrobras,Organization
Shire,Organization
HP,Organization
EXOR,Organization
Sumitomo,Organization
Orix,Organization
BB&T,Organization
Peugeot,Organization
ABB,Organization
Danaher,Organization
Diageo,Organization
Tesco,Organization
Aegon,Organization
CRRC,Organization
Safran,Organization
Accenture,Organization
Henkel,Organization
CaixaBank,Organization
Baidu,Organization
Ecopetrol,Organization
Humana,Organization
Nomura,Organization
Merck,Organization
Bridgestone,Organization
Raytheon,Organization
Progressive,Organization
HDFC,Organization
CRH,Organization
Sompo,Organization
DNB,Organization
BCE,Organization
Surgutneftegas,Organization
PayPal,Organization
CSX,Organization
Nike,Organization
Natixis,Organization
Marubeni,Organization
Kering,Organization
Celgene,Organization
Linde,Organization
SingTel,Organization
TransCanada,Organization
Telstra,Organization
Wesfarmers,Organization
Mastercard,Organization
WPP,Organization
Starbucks,Organization
Femsa,Organization
Philips,Organization
CenturyLink,Organization
PG&E,Organization
Heineken,Organization
Etisalat,Organization
Komatsu,Organization
Maybank,Organization
Subaru,Organization
Bouygues,Organization
Biogen,Organization
SSE,Organization
Monsanto,Organization
Andeavor,Organization
Vivendi,Organization
Swedbank,Organization
Vodafone,Organization
Adidas,Organization
Sampo,Organization
Sysco,Organization
FirstRand,Organization
IntercontinentalExchange,Organization
Centene,Organization
Barclays,Organization
Paccar,Organization
Woolworths,Organization
Loews,Organization
Telenor,Organization
HeidelbergCement,Organization
Wheelock,Organization
Talanx,Organization
Sasol,Organization
NTPC,Organization
Fujitsu,Organization
Ecolab,Organization
Williams,Organization
Naspers,Organization
Thales,Organization
Orsted,Organization
Stryker,Organization
MTR,Organization
Kubota,Organization
GFNorte,Organization
Novatek,Organization
WestRock,Organization
Praxair,Organization
Qualcomm,Organization
Swisscom,Organization
Mapfre,Organization
NVIDIA,Organization
Cognizant,Organization
Tatneft,Organization
Allergan,Organization
H&M,Organization
Nidec,Organization
PPG,Organization
Netflix,Organization
Cummins,Organization
LafargeHolcim,Organization
Atlantia,Organization
Evonik,Organization
Kyocera,Organization
Aeon,Organization
Nucor,Organization
Covestro,Organization
CBS,Organization
Nokia,Organization
Valeo,Organization
PPL,Organization
Vonovia,Organization
Falabella,Organization
JD.com,Organization
Mylan,Organization
Infosys,Organization
Lennar,Organization
Ageas,Organization
Nintendo,Organization
Viacom,Organization
Capgemini,Organization
Transneft,Organization
Kellogg,Organization
Isbank,Organization
TELUS,Organization
ZTE,Organization
Carrefour,Organization
Commerzbank,Organization
BYD,Organization
Sodexo,Organization
Aptiv,Organization
Sanlam,Organization
DSM,Organization
Altice,Organization
Solvay,Organization
Kasikornbank,Organization
Credicorp,Organization
Teliasonera,Organization
Sandvik,Organization
Ferguson,Organization
Eiffage,Organization
Unum,Organization
Fanuc,Organization
ROSSETI,Organization
Halliburton,Organization
Prologis,Organization
Toshiba,Organization
Akbank,Organization
Uniper,Organization
Ericsson,Organization
LabCorp,Organization
Bancolombia,Organization
AMP,Organization
Abertis,Organization
Taisei,Organization
ITC,Organization
Hilton,Organization
Rakuten,Organization
Lear,Organization
VMware,Organization
Sharp,Organization
Dentsu,Organization
TUI,Organization
YPF,Organization
Entergy,Organization
Ferrovial,Organization
CSL,Organization
Bankia,Organization
Tesla,Organization
Fortum,Organization
Oneok,Organization
ItaÃºsa,Organization
Kajima,Organization
Centrica,Organization
NetEase,Organization
Keyence,Organization
Braskem,Organization
Hikvision,Organization
Comerica,Organization
Kone,Organization
Aena,Organization
Schaeffler,Organization
Hanwha,Organization
Weyerhaeuser,Organization
Salesforce.com,Organization
Apache,Organization
ATOS,Organization
AutoZone,Organization
CarMax,Organization
Adecco,Organization
VF,Organization
Halkbank,Organization
FirstEnergy,Organization
Nutrien,Organization
Obayashi,Organization
Voestalpine,Organization
eBay,Organization
Invesco,Organization
Wipro,Organization
Inpex,Organization
HollyFrontier,Organization
Kohl's,Organization
South32,Organization
CapitaLand,Organization
Gecina,Organization
Mediobanca,Organization
VakifBank,Organization
Technipfmc,Organization
Corning,Organization
Klepierre,Organization
Fortive,Organization
STMicroelectronics,Organization
Fiserv,Organization
Cemex,Organization
Towngas,Organization
TDK,Organization
Snam,Organization
Bunge,Organization
Cielo,Organization
Tokyu,Organization
Westfield,Organization
Gap,Organization
Beiersdorf,Organization
Intuit,Organization
Ceconomy,Organization
Severstal,Organization
Ameren,Organization
SMC,Organization
Zoetis,Organization
Cencosud,Organization
Finatis,Organization
Hershey,Organization
Textron,Organization
MediaTek,Organization
Ball,Organization
Onex,Organization
Shimizu,Organization
NEC,Organization
Gemdale,Organization
Amphenol,Organization
AntarChile,Organization
Schroders,Organization
Bankinter,Organization
Scor,Organization
JBS,Organization
Whirlpool,Organization
Kingfisher,Organization
DaVita,Organization
CDW,Organization
Tenaris,Organization
Dexia,Organization
Legrand,Organization
GKN,Organization
Investec,Organization
Torchmark,Organization
Ventas,Organization
Sojitz,Organization
Pegatron,Organization
Moody's,Organization
Celanese,Organization
Carlsberg,Organization
Markel,Organization
Symantec,Organization
KPN,Organization
Aramark,Organization
DSV,Organization
EletrobrÃ¡s,Organization
Grifols,Organization
Saputo,Organization
Sika,Organization
Mondi,Organization
Bombardier,Organization
AES,Organization
Cintas,Organization
Ajinomoto,Organization
Terumo,Organization
Magnit,Organization
Cerner,Organization
SGS,Organization
Dover,Organization
Hoya,Organization
Metro,Organization
Clorox,Organization
Flex,Organization
Ternium,Organization
Terna,Organization
Harris,Organization
FamilyMart,Organization
Coty,Organization
Arkema,Organization
Givaudan,Organization
Paychex,Organization
Innolux,Organization
NASDAQ,Organization
Ricoh,Organization
PVH,Organization
Hesteel,Organization
Ayala,Organization
Worldpay,Organization
UCB,Organization
Shiseido,Organization
Antofagasta,Organization
Hess,Organization
Experian,Organization
Illumina,Organization
Hexagon,Organization
Aroundtown,Organization
Doosan,Organization
Equinix,Organization
Goldcorp,Organization
Welltower,Organization
Alstom,Organization
Shionogi,Organization
Ferrari,Organization
Kinnevik,Organization
Arconic,Organization
Leonardo,Organization
OMRON,Organization
ManpowerGroup,Organization
McCormick,Organization
Umicore,Organization
Masco,Organization
Naver,Organization
Autoliv,Organization
Huntsman,Organization
LKQ,Organization
Nielsen,Organization
BorgWarner,Organization
Unicharm,Organization
Assurant,Organization
Quinenco,Organization
Boliden,Organization
Skanska,Organization
Olympus,Organization
Ametek,Organization
BBMG,Organization
Chemours,Organization
Alrosa,Organization
Nordstrom,Organization
Mosaic,Organization
ALFA,Organization
UGI,Organization
Coloplast,Organization
NVR,Organization
Storebrand,Organization
Brenntag,Organization
KT&G,Organization
Encana,Organization
Navient,Organization
Persimmon,Organization
Bunzl,Organization
FMC,Organization
PulteGroup,Organization
EQT,Organization
Mallinckrodt,Organization
Accor,Organization
Goodyear,Organization
Next,Organization
Erdemir,Organization
Alleghany,Organization
AutoNation,Organization
Pandora,Organization
Industrivarden,Organization
Lundbergs,Organization
Proximus,Organization
Fastenal,Organization
Bankunited,Organization
Kintetsu,Organization
Abengoa,Organization
Sistema,Organization
NSK,Organization
DCC,Organization
Minebea,Organization
NEXON,Organization
Leidos,Organization
Segro,Organization
CA,Organization
Xilinx,Organization
Geberit,Organization
JTEKT,Organization
WÃ¤rtsilÃ¤,Organization
Xerox,Organization
IHI,Organization
Tosoh,Organization
Celltrion,Organization
Polyus,Organization
Aurubis,Organization
Wistron,Organization
Colruyt,Organization
Adient,Organization
DSME,Organization
VEON,Organization
NetApp,Organization
STRABAG,Organization
Fresnillo,Organization
Equifax,Organization
Wendel,Organization
Iliad,Organization
Pearson,Organization
VeriSign,Organization
Novozymes,Organization
Lanxess,Organization
Uniqa,Organization
Keppel,Organization
ServiceNow,Organization
Acciona,Organization
Brambles,Organization
Haseko,Organization
Suzuken,Organization
Autodesk,Organization
Workday,Organization
Dexus,Organization
Garmin,Organization
Rexel,Organization
Fluor,Organization
Eisai,Organization
Cybg,Organization
Empire,Organization
Avnet,Organization
Makita,Organization
BayWa,Organization
SYNNEX,Organization
SQM,Organization
Oi,Organization
Twitter,Organization
Saipem,Organization
Whitbread,Organization
Hyosung,Organization
Orient,Organization
Ingredion,Organization
Hanwa,Organization
BRF,Organization
Liberbank,Organization
B3,Organization
RusHydro,Organization
TransUnion,Organization
Maxis,Organization
Square,Organization
Inventec,Organization
Supervalu,Organization
Popular,Organization
Sysmex,Organization
Remgro,Organization
Genting,Organization
Tapestry,Organization
Safaricom,Organization
NiSource,Organization
Unisplendour,Organization
Amorepacific,Organization
Zalando,Organization
EasyJet,Organization
Orkla,Organization
NKT,Organization
Olin,Organization
Jaccs,Organization
Wirecard,Organization
SES,Organization
Sabesp,Organization
Inchcape,Organization
Xylem,Organization
Dollarama,Organization
Kesko,Organization
Dufry,Organization
ITV,Organization
ISS,Organization
Splunk,Organization
Abiomed,Organization
F.N.B.,Organization
Yamaha,Organization
FinecoBank,Organization
HCP,Organization
Securitas,Organization
Vingroup,Organization
MSCI,Organization
Uralkali,Organization
